Washington, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200412,48.4,2.3
200512,47.3,1.2
200612,47.5,1.4
200712,46.8,0.7
200812,45.8,-0.3
200912,46.4,0.3
201012,47.1,1.0
201112,45.5,-0.6
201212,47.1,1.0
201312,47.2,1.1
201412,48.4,2.3
201512,50.0,3.9
201612,48.6,2.5
201712,46.8,0.7
201812,48.0,1.9
201912,46.5,0.4
202012,48.1,2.0
