Kentucky, Average Temperature, January-December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200412,56.4,0.9
200512,56.8,1.3
200612,56.8,1.3
200712,57.7,2.2
200812,55.4,-0.1
200912,55.4,-0.1
201012,56.0,0.5
201112,56.9,1.4
201212,58.4,2.9
201312,55.0,-0.5
201412,54.3,-1.2
201512,56.6,1.1
201612,57.9,2.4
201712,57.8,2.3
201812,57.0,1.5
201912,57.5,2.0
202012,57.1,1.6
