Agency name,"No. of
quarters
reported",Race,Religion,"Sexual
orientation",Ethnicity,Disability
Gridley,4,0,1,0,0,0
Grover Beach,4,0,0,1,0,0
Guadalupe,4,1,0,0,0,0
Hawaiian Gardens,4,4,0,0,0,0
Hayward,4,1,0,0,1,0
Hemet,4,5,0,0,0,0
Huntington Beach,4,8,6,8,5,0
Imperial Beach,4,1,0,0,2,0
Irvine,4,2,0,0,0,0
Laguna Hills,4,0,0,1,2,0
La Habra,4,2,0,0,0,0
Lake Elsinore,4,2,1,0,0,0
Lakewood,4,6,1,1,0,0
La Mesa,4,0,0,0,1,0
La Mirada,4,0,0,1,1,0
Lancaster,4,6,2,2,0,0
La Puente,4,0,0,0,1,0
La Verne,4,1,1,0,0,0
Lawndale,4,1,1,0,3,0
Livermore,4,2,2,0,0,0
Long Beach,4,8,3,12,4,0
Los Alamitos,4,1,0,0,0,0
Los Angeles,4,104,34,42,39,0
Los Gatos,4,1,0,0,0,0
Madera,4,1,0,0,1,0
Malibu,4,2,0,0,0,0
Manteca,4,2,0,0,0,0
Martinez,4,2,1,0,0,0
Marysville,4,2,0,0,0,0
Menlo Park,4,0,0,1,0,0
Mission Viejo,4,0,0,1,0,0
Modesto,4,2,1,1,1,0
Monrovia,4,1,0,0,0,0
Montclair,4,1,1,0,0,0
Moorpark,4,2,3,0,1,0
Moreno Valley,4,6,0,0,1,0
Morgan Hill,4,0,0,0,1,0
Mountain View,4,0,1,1,1,0
Napa,4,0,0,1,0,0
National City,4,2,0,0,0,0
Newark,4,1,0,0,0,0
Newport Beach,4,0,1,1,3,0
Norco,4,2,0,0,0,0
Norwalk,4,7,0,0,2,0
Novato,4,2,0,0,0,0
Oakland,4,1,0,2,0,0
Oceanside,4,11,0,0,4,0
Ontario,4,0,1,0,0,0
Orange,4,0,0,1,1,0
Orinda,4,1,0,0,0,0
Oroville,4,1,0,0,0,0
Oxnard,4,1,0,0,0,0
Palmdale,4,9,0,0,4,1
Palm Desert,4,1,1,10,0,0
Palm Springs,4,1,4,7,0,0
Palo Alto,4,3,1,2,1,0
Paramount,4,2,0,0,0,0
Parlier,4,0,1,0,0,0
Pasadena,4,5,1,0,2,0
Patterson,4,2,0,0,0,0
Perris,4,1,0,1,2,0
Petaluma,4,0,3,1,0,0
Pico Rivera,4,0,0,1,0,0
Pinole,4,0,1,0,0,0
Pismo Beach,4,0,0,1,0,0
Placentia,4,1,0,0,0,0
Pleasant Hill,4,5,1,0,0,0
Pleasanton,4,2,0,0,1,0
Pomona,4,4,1,0,1,0
Poway,4,1,0,0,0,0
Rancho Mirage,4,1,0,0,0,0
Rancho Santa Margarita,4,0,2,0,0,0
Redding,4,8,3,1,3,0
Redlands,4,0,1,2,1,0
Redondo Beach,4,5,4,0,1,0
Reedley,4,1,0,0,0,0
Rialto,4,1,0,0,0,0
Ridgecrest,4,1,0,0,0,0
Ripon,4,0,0,0,1,0
Riverside,4,15,6,1,0,0
Rohnert Park,4,0,0,0,1,0
Roseville,4,2,1,1,1,0
Sacramento,4,28,3,11,7,1
Salinas,4,0,1,0,0,0
San Bernardino,4,1,0,1,1,0
San Bruno,4,2,1,0,0,0
San Clemente,4,1,0,0,1,0
San Diego,4,18,5,10,8,0
San Dimas,4,0,1,0,2,0
San Fernando,4,0,2,0,0,0
San Francisco,4,34,10,47,12,1
San Jacinto,4,0,1,0,0,0
San Jose,4,14,4,3,1,0
San Leandro,4,1,0,0,0,0
San Luis Obispo,3,1,1,1,2,0
San Marcos,4,1,0,0,2,0
San Mateo,4,4,0,0,0,0
San Rafael,4,1,0,0,0,0
Santa Ana,4,1,1,1,1,0
Santa Barbara,4,0,2,0,0,0
Santa Clara,4,1,0,0,0,0
Santa Clarita,4,7,1,3,2,0
Santa Cruz,4,4,1,5,2,0
Santa Maria,4,0,0,1,0,0
Santa Paula,4,0,0,1,0,0
Santa Rosa,4,2,3,2,1,0
Santee,4,9,0,1,1,0
Saratoga,4,0,0,0,1,0
Simi Valley,4,2,0,0,0,0
Sonora,4,3,0,0,0,0
South San Francisco,4,1,0,0,0,0
Stockton,4,2,1,2,3,0
Sunnyvale,4,1,1,0,0,0
Temecula,4,1,0,0,0,0
Temple City,4,1,0,0,0,0
Thousand Oaks,4,2,2,2,1,0
Tracy,4,1,0,0,0,0
Tulare,4,0,1,1,0,0
Turlock,4,1,1,0,0,0
Upland,4,3,0,0,0,0
Vacaville,4,3,1,0,2,0
Ventura,4,3,0,0,2,0
Villa Park,4,0,1,0,0,0
Visalia,4,1,0,0,0,0
Vista,4,1,1,0,3,0
Walnut,4,1,0,0,0,0
Watsonville,4,2,0,0,0,0
West Covina,4,1,0,0,1,0
West Hollywood,4,1,1,10,0,0
Westlake Village,4,0,0,0,1,0
Westminster,4,1,3,0,0,0
West Sacramento,4,0,0,0,2,0
Whittier,4,2,0,0,0,0
Woodland,4,0,2,0,1,0
Yorba Linda,4,0,1,0,1,0
Yuba City,4,1,0,0,2,0
Universities and Colleges,,13,5,5,2,0
California State University:,,,,,,
Chico,4,1,0,0,0,0
East Bay,4,4,1,0,1,0
Fresno,4,2,0,0,0,0
Monterey Bay,4,0,1,0,0,0
Northridge,4,0,0,1,0,0
Sacramento,4,1,0,0,0,0
San Jose,4,1,0,0,0,0
Contra Costa Community College,4,0,0,1,0,0
Humboldt State University,4,0,0,1,0,0
San Diego State University,4,0,1,0,0,0
University of California:,,,,,,
Berkeley,4,1,0,0,0,0
Hastings College of Law,4,1,0,0,0,0
Irvine,4,0,0,0,1,0
Los Angeles,4,1,2,1,0,0
