Agency name,"No. of
quarters
reported",Race,Religion,"Sexual
orientation",Ethnicity,Disability
Lexington,4,5,1,1,1,0
Maysville,3,1,0,0,0,0
Morganfield,2,2,0,0,0,0
Murray,4,1,0,0,0,1
Paris,3,1,0,0,0,0
Somerset,4,0,0,0,2,0
Taylor Mill,4,0,0,1,0,0
Universities and Colleges,,3,1,0,0,0
Murray State University,4,0,1,0,0,0
University of Kentucky,4,3,0,0,0,0
Metropolitan Counties,,1,0,5,1,0
Boone,3,0,0,0,1,0
Boyd County Police Department,1,1,0,0,0,0
Daviess,4,0,0,2,0,0
Oldham County Police Department,4,0,0,3,0,0
Nonmetropolitan Counties,,1,0,0,0,0
Franklin,4,1,0,0,0,0
State Police Agencies,,2,0,0,0,0
State Police,4,2,0,0,0,0
LOUISIANA,,12,3,1,0,1
Cities,,3,2,1,0,0
Bossier City,4,0,1,0,0,0
Lake Arthur,4,2,0,0,0,0
Mamou,4,1,0,0,0,0
New Orleans,1,0,1,0,0,0
West Monroe,4,0,0,1,0,0
Metropolitan Counties,,0,1,0,0,0
Ascension,4,0,1,0,0,0
Nonmetropolitan Counties,,7,0,0,0,1
Acadia,4,1,0,0,0,0
East Carroll,4,6,0,0,0,0
Madison,4,0,0,0,0,1
Other Agencies,,2,0,0,0,0
Tensas Basin Levee District,4,2,0,0,0,0
MAINE,,21,12,21,3,0
Cities,,19,10,17,3,0
Augusta,4,0,3,3,0,0
Bangor,4,0,2,2,0,0
Brunswick,4,0,0,1,0,0
Calais,4,1,0,0,0,0
Cape Elizabeth,4,0,1,0,0,0
Falmouth,4,0,0,1,0,0
Farmington,4,1,0,4,0,0
Gorham,4,1,0,0,0,0
Houlton,4,0,0,1,0,0
Lewiston,4,1,0,0,0,0
Livermore Falls,4,1,0,0,0,0
Ogunquit,4,0,0,1,0,0
Portland,4,1,1,0,0,0
Rockland,4,2,0,0,0,0
Rumford,4,1,0,0,0,0
Saco,4,2,1,0,0,0
Sanford,4,2,0,0,1,0
Scarborough,4,0,1,0,0,0
South Portland,4,5,1,3,2,0
Waterville,4,1,0,0,0,0
Winslow,4,0,0,1,0,0
Universities and Colleges,,0,0,1,0,0
"University of Maine, Orono",4,0,0,1,0,0
Metropolitan Counties,,1,1,2,0,0
Cumberland,4,1,0,2,0,0
York,4,0,1,0,0,0
Nonmetropolitan Counties,,1,0,0,0,0
Franklin,4,1,0,0,0,0
State Police Agencies,,0,1,1,0,0
State Police:,,,,,,
Cumberland County,4,0,1,0,0,0
Franklin County,4,0,0,1,0,0
MARYLAND,,127,52,11,5,0
Cities,,13,4,1,1,0
Annapolis,3,0,3,0,0,0
Baltimore,4,5,0,1,0,0
Cumberland,4,4,0,0,0,0
Frederick,4,0,1,0,1,0
Greenbelt,4,1,0,0,0,0
Havre de Grace,4,1,0,0,0,0
Thurmont,4,1,0,0,0,0
Westminster,4,1,0,0,0,0
Universities and Colleges,,2,4,3,0,0
St. Mary's College,4,0,0,1,0,0
Towson University,4,1,0,0,0,0
University of Maryland:,,,,,,
Baltimore City,4,1,0,0,0,0
Baltimore County,4,0,1,1,0,0
College Park,4,0,3,1,0,0
Metropolitan Counties,,104,41,6,3,0
Anne Arundel County Police Department,4,4,0,0,0,0
Baltimore County Police Department,4,50,7,2,0,0
Cecil,4,3,0,0,0,0
Charles,4,1,0,0,0,0
Frederick,4,1,0,0,0,0
Harford,4,3,1,0,0,0
Howard County Police Department,4,25,6,3,1,0
Montgomery County Police Department,4,5,27,0,2,0
Prince George's County Police Department,4,10,0,1,0,0
Wicomico,4,2,0,0,0,0
Nonmetropolitan Counties,,2,1,0,1,0
St. Mary's,4,2,1,0,1,0
State Police Agencies,,6,2,0,0,0
State Police:,,,,,,
Carroll County,4,2,2,0,0,0
Frederick County,4,1,0,0,0,0
St. Mary's County,4,2,0,0,0,0
Washington County,4,1,0,0,0,0
Other Agencies,,0,0,1,0,0
"Maryland-National Capital Park Police, Montgomery County",4,0,0,1,0,0
MASSACHUSETTS,,197,53,64,55,3
Cities,,189,50,57,54,3
Abington,4,1,0,0,0,0
Amesbury,4,1,0,0,0,0
Amherst,4,0,0,1,0,0
Arlington,4,6,0,0,1,0
Ashland,4,1,0,0,0,0
Attleboro,4,3,2,0,0,1
Barnstable,4,9,1,0,1,1
Bellingham,4,1,0,0,0,0
Belmont,4,1,0,0,0,0
Beverly,4,1,1,1,0,0
Boston,4,71,17,33,22,0
Boxford,2,0,0,1,0,0
Braintree,4,0,1,0,0,0
Brockton,4,12,2,1,3,0
Brookline,1,0,1,0,0,0
Burlington,4,2,0,0,1,0
Cambridge,1,0,0,1,0,0
Charlton,4,1,0,0,0,0
Chelmsford,4,2,0,0,0,0
Chelsea,4,0,0,1,0,0
Chicopee,4,1,0,0,0,0
Clinton,4,1,0,0,0,0
Dalton,4,0,1,0,0,0
Dennis,4,1,0,1,0,0
Everett,4,3,0,0,0,0
Falmouth,4,1,1,0,0,0
Fitchburg,4,1,0,0,0,0
Framingham,1,0,1,0,0,0
Greenfield,4,1,0,0,1,0
Hadley,4,0,0,1,0,0
Haverhill,4,7,3,2,2,1
Hopkinton,4,1,0,0,0,0
Hudson,4,0,1,0,0,0
Lexington,4,0,0,0,1,0
Lynn,1,0,0,0,1,0
Malden,4,5,0,0,4,0
Mansfield,4,0,0,0,1,0
Marblehead,4,0,1,0,0,0
Milton,3,2,2,0,0,0
Needham,4,2,0,0,0,0
Newburyport,4,0,1,0,0,0
Newton1,4,5,2,1,0,0
Northampton,4,0,0,3,0,0
North Attleboro,4,1,0,0,0,0
Norwell,4,0,1,0,0,0
Palmer,4,0,0,1,0,0
Peabody,4,0,1,0,0,0
Pepperell,4,0,1,0,0,0
Pittsfield,4,0,0,2,0,0
Quincy,4,17,0,1,7,0
Raynham,1,0,1,0,0,0
Revere,4,4,2,2,1,0
Sharon,4,1,1,0,0,0
Shrewsbury,4,1,0,0,0,0
Somerville,4,3,0,1,2,0
South Hadley,4,1,0,0,0,0
Springfield,4,3,0,1,0,0
Uxbridge,4,0,0,0,1,0
Waltham,4,1,0,0,0,0
Ware,4,1,0,0,0,0
Watertown,4,2,1,0,0,0
Wayland,4,0,1,0,1,0
Webster,4,1,0,0,0,0
Westborough,4,0,0,0,1,0
West Brookfield,4,0,0,1,0,0
Westfield,4,0,2,0,1,0
Westford,4,4,0,0,1,0
West Springfield,4,0,1,0,0,0
Wilbraham,4,1,0,0,0,0
Williamstown,4,3,0,0,0,0
Winchester,4,1,0,0,0,0
Winthrop,3,1,0,0,0,0
Worcester,4,0,0,1,0,0
Yarmouth,4,0,0,0,1,0
Universities and Colleges,,7,3,7,1,0
Emerson College,3,1,0,2,0,0
Framingham State College,1,0,0,1,0,0
Lasell College,1,1,0,0,0,0
Massachusetts College of Art,1,1,0,0,0,0
Massachusetts Institute of Technology,4,0,0,2,0,0
Merrimack College,1,3,0,0,1,0
Northeastern University,3,1,2,1,0,0
"University of Massachusetts, Amherst",4,0,1,1,0,0
State Police Agencies,,1,0,0,0,0
"State Police, Berkshire County",1,1,0,0,0,0
MICHIGAN,,475,53,57,50,5
Cities,,426,41,48,40,4
Adrian,4,5,2,1,1,0
Albion,4,3,0,0,0,0
Alpena,4,3,0,0,0,0
Ann Arbor,4,4,2,2,2,0
Battle Creek,4,2,1,0,1,0
Benton Harbor,4,3,0,0,1,0
Benton Township,4,0,0,0,1,1
Berkley,4,0,0,1,0,0
Beverly Hills,4,0,1,1,0,0
Birmingham,4,0,2,0,0,0
Blissfield,4,1,0,0,0,0
Bloomfield Township,4,2,1,0,0,0
Bridgman,4,1,0,0,0,0
Brighton,4,3,0,0,0,0
Buchanan,4,2,0,0,0,0
Burton,4,2,0,1,0,0
Cadillac,4,9,0,0,1,0
Canton Township,4,1,1,0,0,0
Carleton,4,1,0,0,0,0
Cedar Springs,4,1,0,0,0,0
Center Line,4,0,1,0,0,1
Charlotte,4,1,0,0,0,0
Chelsea,4,3,0,1,0,0
Chesterfield Township,4,2,0,0,0,0
Clare,4,0,0,1,0,0
Clayton Township,4,1,0,0,0,0
Clinton Township,4,9,1,0,1,0
Clio,4,1,0,0,0,0
Coldwater,4,0,0,1,0,0
Coloma Township,4,1,0,0,0,0
Constantine,4,1,0,0,0,0
Croswell,4,0,1,0,0,0
Dearborn,4,8,1,0,5,0
Decatur,4,1,0,0,0,0
Detroit,4,41,3,3,2,0
Dewitt Township,4,2,0,0,0,0
Douglas,4,0,0,1,0,0
Elk Rapids,4,1,0,0,0,0
Emmett Township,4,2,0,0,0,1
Erie Township,4,1,0,0,0,0
Evart,4,2,1,0,0,0
Farmington,4,3,0,0,0,0
Flint,4,50,1,8,1,0
Frankfort,4,1,0,0,0,0
Fraser,4,1,0,0,0,0
Fremont,4,6,0,0,0,0
Garden City,4,5,0,1,1,0
Genesee Township,4,7,0,0,0,0
Gibraltar,4,2,0,0,0,0
Gladstone,4,2,0,0,0,0
Grand Blanc,4,0,0,1,0,0
Grand Haven,4,0,0,1,0,0
Grand Rapids,4,36,1,9,8,0
Grandville,4,3,0,0,0,0
Greenville,4,5,1,0,0,0
Grosse Pointe Park,4,1,0,0,0,0
Hamburg Township,4,1,0,0,0,0
Hampton Township,4,2,0,0,0,0
Hamtramck,4,0,1,0,0,0
Hancock,4,3,0,0,0,0
Hillsdale,4,1,0,0,0,0
Holland,4,4,0,0,0,0
Howard City,4,1,0,0,0,0
Howell,4,0,0,0,1,0
Hudson,4,2,0,0,0,0
Inkster,4,1,2,0,0,0
Iron Mountain,4,2,0,0,0,0
Ishpeming Township,3,2,0,0,0,0
Jackson,4,2,0,0,0,0
Kalamazoo,4,2,0,0,0,0
Kalamazoo Township,4,1,0,0,0,0
Keego Harbor,4,1,0,0,0,0
Laingsburg,4,1,0,0,0,0
Lake Orion,4,1,0,0,0,0
Lakeview,4,1,0,0,0,0
Lansing,4,15,1,4,4,0
Lansing Township,4,0,1,0,0,0
Lawton,4,2,0,0,0,0
Lincoln Township,4,0,0,1,0,0
Livonia,4,4,2,1,0,0
Luna Pier,4,0,0,0,0,1
Mancelona,4,1,0,0,0,0
Manistee,4,3,0,0,0,0
Marshall,4,1,0,0,0,0
Meridian Township,4,2,0,0,0,0
Midland,4,2,2,0,0,0
Milan,4,1,0,0,0,0
Milford,4,1,0,0,0,0
Montrose Township,4,0,0,0,1,0
Morenci,4,4,0,0,0,0
Mount Morris Township,4,11,0,1,0,0
Mount Pleasant,4,1,2,0,0,0
Muskegon,4,7,1,0,0,0
Muskegon Heights,4,1,0,0,0,0
New Baltimore,4,0,1,0,0,0
Niles,4,5,0,1,0,0
Northville Township,4,1,0,0,0,0
Novi,4,1,0,0,0,0
Paw Paw,4,2,0,0,0,0
Pentwater,4,0,0,0,2,0
Plymouth,4,1,0,0,0,0
Pontiac,4,7,0,1,0,0
Port Huron,4,4,0,1,0,0
Reading,4,1,0,0,0,0
Riverview,4,7,0,0,0,0
Rockford,4,1,0,0,0,0
Romeo,4,1,0,0,0,0
Romulus,4,7,0,1,0,0
Rothbury,4,0,0,1,0,0
Royal Oak,4,1,0,0,0,0
Saginaw,4,4,0,0,0,0
Saginaw Township,4,1,0,0,0,0
Sandusky,4,1,0,0,0,0
Shelby Township,4,2,0,0,0,0
South Lyon,4,1,0,0,0,0
South Rockwood,4,1,0,0,0,0
Sparta,4,1,0,0,0,0
Springfield,4,1,0,0,0,0
St. Joseph,4,2,1,1,0,0
Sumpter Township,4,3,0,0,0,0
Swartz Creek,4,1,0,0,1,0
Tecumseh,4,1,0,0,0,0
Troy,4,7,1,0,0,0
Van Buren Township,4,1,0,0,0,0
Walled Lake,4,1,0,0,0,0
Warren,4,15,0,1,4,0
Wayne,4,2,0,0,1,0
Westland,4,6,0,0,1,0
White Lake Township,4,0,1,1,0,0
Wixom,4,1,0,0,0,0
Wyandotte,4,5,4,0,0,0
Wyoming,4,3,0,0,0,0
Ypsilanti,4,1,0,0,0,0
Universities and Colleges,,9,1,2,1,0
Eastern Michigan University,4,2,0,1,0,0
Lansing Community College,4,1,0,0,0,0
Michigan State University,4,1,1,0,0,0
Mott Community College,4,1,0,0,0,0
"University of Michigan, Ann Arbor",4,4,0,1,1,0
Metropolitan Counties,,27,5,2,4,0
Cass,4,1,0,0,0,0
Ingham,4,3,1,1,0,0
Kalamazoo,4,0,0,0,1,0
Kent,4,5,0,0,2,0
Livingston1,4,1,1,0,0,0
Macomb,4,3,1,0,0,0
Monroe,4,1,0,0,0,0
Oakland,4,3,1,0,0,0
Ottawa,4,0,0,0,1,0
St. Clair,4,9,1,1,0,0
Wayne,4,1,0,0,0,0
Nonmetropolitan Counties,,9,5,5,4,1
Crawford,4,0,0,0,1,0
Dickinson,4,2,0,0,0,0
Grand Traverse,4,1,1,2,0,0
Gratiot,4,1,0,0,0,0
Huron,4,0,0,0,1,1
Lake,4,2,0,0,0,0
Midland,4,2,0,0,0,0
Montmorency,4,0,0,1,0,0
Oceana,4,0,0,0,1,0
Otsego,4,1,0,0,0,0
Roscommon,4,0,0,1,0,0
Tuscola,4,0,4,0,1,0
Wexford,4,0,0,1,0,0
State Police Agencies,,2,1,0,0,0
State Police:,,,,,,
Luce County,4,0,1,0,0,0
Muskegon County,4,1,0,0,0,0
Washtenaw County,4,1,0,0,0,0
Other Agencies,,2,0,0,1,0
Wayne County Airport,4,2,0,0,1,0
MINNESOTA,,104,25,27,47,3
Cities,,98,24,23,45,3
Bemidji,4,5,0,0,1,0
Benson,4,1,0,0,0,0
Blaine,4,8,0,1,3,0
Bloomington,2,0,0,1,0,0
Brooklyn Park,3,4,0,1,4,0
Columbia Heights,4,1,0,0,0,0
Coon Rapids,3,2,0,0,1,0
Cottage Grove,4,4,0,0,1,0
Crystal,3,0,1,0,0,0
Dilworth,4,0,0,0,1,0
Eagan,2,2,0,0,1,0
Eden Prairie,2,0,1,0,0,0
Edina,3,1,0,0,0,0
Elk River,4,2,0,0,4,0
Falcon Heights,3,0,1,0,0,0
Forest Lake,4,0,0,1,0,0
Golden Valley,3,0,0,1,0,0
Hopkins,3,1,0,0,0,0
Inver Grove Heights,3,2,0,0,1,0
Jordan,3,1,0,0,0,0
Lakes Area,4,0,1,0,0,0
Lakeville,3,2,0,0,0,0
Mankato,4,2,0,1,1,0
Maple Grove,3,0,0,1,0,0
Minneapolis,4,14,1,4,8,1
Minnetonka,4,2,2,0,0,0
Moorhead,4,1,0,0,1,0
Morris,3,0,0,0,1,0
New Brighton,4,1,2,0,0,0
New Ulm,4,1,0,0,0,0
Northfield,3,0,3,0,0,0
Orono,3,0,1,0,0,0
Plymouth,3,1,2,0,0,0
Red Wing,4,3,0,0,0,0
Richfield,2,0,0,0,1,0
Robbinsdale,4,1,0,1,1,0
Rochester,4,4,1,1,2,0
Roseville,3,1,0,0,0,0
Sartell,4,1,0,0,0,0
Savage,4,1,0,1,1,0
South St. Paul,1,1,0,0,0,0
St. Anthony,4,0,1,0,0,0
St. Cloud,4,5,0,0,3,0
Stillwater,4,2,0,0,1,0
St. Louis Park,4,0,2,5,2,0
St. Paul,4,21,5,3,5,2
Waseca,4,0,0,1,0,0
Woodbury,1,0,0,0,1,0
Universities and Colleges,,3,0,4,0,0
"University of Minnesota, Twin Cities",4,3,0,4,0,0
Metropolitan Counties,,0,1,0,1,0
Chisago,3,0,0,0,1,0
Washington,4,0,1,0,0,0
Nonmetropolitan Counties,,3,0,0,1,0
Douglas,3,1,0,0,0,0
Kanabec,4,0,0,0,1,0
McLeod,4,1,0,0,0,0
Redwood,2,1,0,0,0,0
MISSOURI,,60,5,12,1,0
Cities,,48,3,4,0,0
Belton,3,2,0,0,0,0
Blue Springs,4,1,0,0,0,0
Crestwood,4,1,0,0,0,0
Fredericktown,4,1,0,0,0,0
Humansville,3,1,0,0,0,0
Kansas City,1,1,1,1,0,0
Kirksville,4,3,0,0,0,0
Kirkwood,3,1,0,0,0,0
Lebanon,4,1,0,0,0,0
Lee's Summit,4,5,2,1,0,0
Liberty,1,1,0,0,0,0
Peculiar,4,4,0,0,0,0
Rolla,3,3,0,0,0,0
Savannah,4,2,0,0,0,0
Springfield,4,7,0,1,0,0
St. Louis,4,14,0,1,0,0
Universities and Colleges,,2,0,2,0,0
Central Missouri State University,4,2,0,0,0,0
"University of Missouri, Kansas City",4,0,0,1,0,0
Washington University,4,0,0,1,0,0
Metropolitan Counties,,9,2,1,1,0
Platte,4,2,0,1,0,0
St. Charles,3,2,0,0,1,0
St. Louis County Police Department,4,4,2,0,0,0
Warren,4,1,0,0,0,0
Nonmetropolitan Counties,,1,0,5,0,0
Douglas,3,0,0,5,0,0
Phelps,4,1,0,0,0,0
MONTANA,,37,5,7,8,8
Cities,,7,2,5,4,3
East Helena,4,2,0,0,0,0
Great Falls,4,1,0,0,0,0
Helena,4,1,1,1,2,1
Kalispell,4,1,0,0,1,0
Missoula,4,0,0,2,0,0
Ronan City,4,0,0,1,0,0
Stevensville,4,0,0,0,1,0
Thompson Falls,4,0,1,1,0,1
Whitefish,4,2,0,0,0,1
Nonmetropolitan Counties,,30,3,2,4,5
Big Horn,4,12,0,0,0,3
Chouteau,4,1,0,0,0,0
Deer Lodge,4,1,0,0,0,0
Flathead,4,1,0,0,2,1
Glacier,4,1,0,0,0,0
Granite,4,0,1,0,0,0
Lake,4,1,0,0,1,0
Lewis and Clark,4,1,0,0,0,0
Lincoln,4,0,0,0,0,1
Mineral,4,1,1,0,0,0
Park,4,1,0,0,0,0
Ravalli,4,4,0,0,0,0
Sanders,4,1,1,0,1,0
Silver Bow,4,4,0,1,0,0
Stillwater,4,0,0,1,0,0
Toole,4,1,0,0,0,0
NEBRASKA,,36,12,10,11,2
Cities,,35,12,10,10,2
Beatrice,4,0,0,1,0,0
Cozad,4,1,0,0,0,0
Fremont,4,0,0,1,0,0
Gothenburg,4,0,0,0,1,0
Hastings,4,1,0,1,0,0
Kearney,4,16,2,1,2,0
Lincoln,4,7,4,4,4,1
Norfolk,4,0,0,0,2,0
Omaha,3,10,6,2,1,1
Metropolitan Counties,,1,0,0,0,0
Washington,4,1,0,0,0,0
Nonmetropolitan Counties,,0,0,0,1,0
Scotts Bluff,4,0,0,0,1,0
NEVADA,,33,14,8,21,1
Cities,,33,14,8,21,1
Las Vegas Metropolitan Police Department,4,31,12,5,16,1
North Las Vegas,4,1,0,1,2,0
Reno,4,1,2,1,3,0
West Wendover,4,0,0,1,0,0
NEW HAMPSHIRE,,17,3,8,4,0
Cities,,17,3,8,4,0
Auburn,4,1,0,0,0,0
Boscawen,4,0,0,1,0,0
Concord,4,0,0,1,0,0
Derry,4,1,0,1,0,0
Goffstown,4,1,0,0,0,0
Hampton,4,0,0,0,1,0
Hooksett,4,1,0,0,0,0
Hudson,4,0,0,2,0,0
Keene,4,0,0,1,0,0
Kingston,4,1,0,0,0,0
Lancaster,4,0,0,0,1,0
Lebanon,4,1,0,0,0,0
Merrimack,4,3,0,0,0,0
Nashua,4,1,1,0,1,0
New Boston,4,0,1,0,0,0
New Ipswich,4,2,0,0,0,0
Newton,4,1,0,0,0,0
Northfield,4,1,0,0,0,0
Portsmouth,4,3,0,0,0,0
Rochester,4,0,0,0,1,0
Thornton,4,0,0,1,0,0
Walpole,4,0,1,0,0,0
Wolfeboro,4,0,0,1,0,0
NEW JERSEY,,336,281,43,73,5
Cities,,329,280,43,73,5
Aberdeen Township,4,7,2,1,2,0
Absecon,4,0,1,0,0,0
Allendale,4,1,0,0,0,0
Asbury Park,4,3,0,1,1,0
Atlantic Highlands,4,1,0,1,0,0
Bedminster Township,4,0,1,0,1,0
Belleville,4,1,0,0,0,0
Belmar,4,2,0,0,0,0
Berkeley Township,4,1,0,0,0,0
Blairstown Township,4,1,1,0,0,0
Bloomfield,4,0,1,0,0,0
Bordentown Township,4,1,0,0,0,0
Bound Brook,4,0,1,0,0,0
Branchburg Township,4,1,0,0,0,0
Brick Township,4,1,0,0,2,0
Bridgeton,4,1,0,0,0,0
Bridgewater Township,4,0,3,0,1,0
Brigantine,4,2,1,0,0,0
Burlington,4,1,0,0,0,0
Camden,4,0,0,0,3,0
Carteret,4,2,1,0,0,0
Chatham,4,1,0,0,0,0
Cherry Hill Township,4,7,6,2,1,0
Chesterfield Township,4,0,0,1,0,0
Clark Township,4,2,2,0,0,0
Clementon,4,2,0,0,0,0
Clifton,4,1,1,0,0,0
Colts Neck Township,4,1,4,0,0,0
Cranbury Township,4,3,0,0,0,0
Cranford Township,4,0,1,0,0,0
Deal,4,0,2,0,0,0
Delaware Township,4,1,0,0,0,0
Deptford Township,4,0,3,0,0,0
Dunellen,4,3,0,0,0,0
East Brunswick Township,4,0,4,0,0,0
East Windsor Township,4,3,10,0,0,0
Eatontown,4,4,1,0,0,0
Edison Township,4,4,16,0,1,0
Egg Harbor Township,4,1,3,0,1,0
Elizabeth,4,2,1,0,0,0
Englewood,4,2,0,0,0,0
Ewing Township,4,2,1,1,0,0
Fairfield Township,4,1,0,0,0,0
Fair Haven,4,1,2,0,0,0
Fair Lawn,4,1,7,0,0,0
Fort Lee,4,2,3,0,0,0
Franklin,4,1,0,0,0,0
"Franklin Township, Gloucester County",4,0,1,0,0,0
Freehold,4,0,1,0,1,0
Freehold Township,4,3,1,0,0,0
Galloway Township,4,0,0,1,0,0
Gibbsboro,4,0,1,0,0,0
Glassboro,4,7,1,0,1,0
Glen Rock,4,0,1,0,0,0
Gloucester City,4,1,0,0,0,0
Gloucester Township,4,3,4,0,1,1
"Greenwich Township, Warren County",4,1,0,0,0,0
Haddonfield,4,0,3,0,1,0
Haddon Heights,4,0,1,0,0,0
Haddon Township,4,1,2,0,1,1
"Hamilton Township, Atlantic County",4,4,1,0,0,0
"Hamilton Township, Mercer County",4,1,1,0,0,0
Hammonton,4,2,0,0,0,0
Hanover Township,4,0,2,0,0,0
Hardyston Township,4,1,0,0,0,0
Harrison Township,4,3,0,0,0,0
Hawthorne,4,1,0,0,0,0
Hazlet Township,4,3,1,1,3,0
Hightstown,4,2,0,0,0,0
Hillsborough Township,4,3,0,0,0,0
Hoboken,4,1,2,1,0,0
Holmdel Township,4,0,1,0,0,0
Howell Township,4,9,7,1,2,0
Island Heights,4,0,1,0,0,0
Jackson Township,4,3,4,0,0,0
Jefferson Township,4,1,1,0,0,0
Jersey City,4,7,4,3,0,0
Keansburg,4,12,1,0,6,0
Kearny,4,1,0,0,1,0
Kinnelon,4,0,1,0,0,0
Lacey Township,4,3,0,0,0,0
Lakehurst,4,0,1,0,0,0
Lakewood Township,4,11,24,0,2,0
Lambertville,4,1,0,1,0,0
Lawrence Township,4,10,7,0,1,0
Lebanon Township,4,4,2,0,0,0
Lincoln Park,4,1,0,0,0,0
Linden,4,1,2,0,0,0
Linwood,4,0,1,0,0,0
Little Egg Harbor Township,4,10,1,2,5,0
Little Falls Township,4,2,0,1,1,0
Little Silver,4,0,1,0,0,0
Livingston Township,4,0,2,0,1,0
Lodi,4,1,1,0,0,2
Long Beach Township,4,0,1,0,0,0
Long Hill Township,4,0,0,1,0,0
Lopatcong Township,4,1,0,0,0,0
Lower Alloways Creek Township,4,1,0,0,0,0
Lower Township,4,0,0,1,0,0
Manalapan Township,4,2,7,1,2,0
Manasquan,4,2,0,0,0,0
Manchester Township,4,0,1,0,0,0
"Mansfield Township, Burlington County",4,2,1,0,0,0
Mantua Township,4,1,0,0,0,0
Manville,4,0,0,0,1,0
Maple Shade Township,4,1,0,0,0,0
Margate City,4,1,1,0,0,0
Marlboro Township,4,0,8,0,2,0
Matawan,4,1,0,0,0,0
Medford Lakes,4,0,2,0,0,0
Middlesex,4,1,0,0,0,0
Middle Township,4,3,3,0,0,0
Middletown Township,4,0,2,1,1,0
Millburn Township,4,1,2,0,0,0
Milltown,4,1,1,0,0,0
Millville,4,5,0,0,0,0
"Monroe Township, Gloucester County",4,4,0,0,0,0
"Monroe Township, Middlesex County",4,0,1,0,0,0
Montclair,4,3,1,1,1,0
Montgomery Township,4,0,0,1,0,0
Montville Township,4,1,1,0,0,0
Moorestown Township,4,1,0,0,0,0
Morristown,4,0,0,0,1,0
Morris Township,4,2,2,0,0,0
Mount Ephraim,4,0,2,0,0,0
Mount Holly Township,4,1,0,0,0,0
Mount Laurel Township,4,2,0,0,0,0
Mount Olive Township,4,3,0,0,0,0
Neptune Township,4,1,1,0,0,0
Netcong,4,1,0,0,0,0
Newark,4,0,0,1,0,0
New Brunswick,4,3,1,0,1,0
New Milford,4,0,4,0,0,0
North Bergen Township,4,0,0,0,1,0
North Brunswick Township,4,10,5,0,1,0
North Hanover Township,4,1,0,0,0,0
North Plainfield,4,0,0,1,0,0
North Wildwood,4,1,0,0,0,0
Norwood,4,0,0,1,0,0
Oakland,4,1,1,0,0,0
Oaklyn,4,2,0,0,0,0
Ocean City,4,1,0,0,0,0
Ocean Gate,4,3,1,0,0,0
Oceanport,4,0,1,1,0,0
"Ocean Township, Monmouth County",4,1,0,0,0,0
Old Bridge Township,4,2,2,1,2,0
Oradell,4,0,2,0,0,0
Palmyra,4,1,0,0,0,0
Paramus,4,1,0,0,0,0
Parsippany-Troy Hills Township,4,3,3,0,1,0
Passaic,4,1,0,0,0,0
Paterson,4,1,1,0,0,0
Pemberton Township,4,1,2,0,0,0
Pennsauken Township,4,1,0,0,0,0
Perth Amboy,4,1,0,0,0,0
Phillipsburg,4,1,0,0,0,0
Piscataway Township,4,1,0,0,0,0
Pitman,4,1,1,1,0,0
Plainfield,4,0,0,2,0,0
Plainsboro Township,4,0,1,0,1,0
Point Pleasant,4,2,1,0,0,0
Point Pleasant Beach,4,2,0,0,1,0
Prospect Park,4,0,0,0,1,0
Rahway,4,0,1,1,0,0
Randolph Township,4,1,0,0,2,0
Raritan,4,0,1,0,0,0
Readington Township,4,0,2,0,0,0
Red Bank,4,1,1,1,1,0
Rockaway Township,4,0,2,0,0,0
Roselle Park,4,1,0,0,0,0
Rumson,4,1,2,1,0,0
Runnemede,4,1,0,0,0,0
Rutherford,4,0,2,0,0,0
Sayreville,4,2,4,1,2,0
Scotch Plains Township,4,0,1,0,0,0
Somerville,4,1,1,0,0,0
South Amboy,4,0,0,0,1,0
South Brunswick Township,4,3,1,0,0,0
South Orange,4,0,0,0,1,0
South Plainfield,4,0,2,0,0,0
South River,4,0,0,0,1,0
Spotswood,4,5,2,0,2,0
Springfield,4,4,0,0,1,0
Spring Lake Heights,4,1,0,0,0,0
Stafford Township,4,0,3,0,0,0
Stratford,4,1,0,0,0,0
Summit,4,2,0,0,0,0
Teaneck Township,4,0,3,1,0,0
Tinton Falls,4,1,3,1,0,0
Trenton,4,0,1,1,0,0
Tuckerton,4,0,1,0,0,0
Union City,4,0,3,1,1,0
Union Township,4,3,1,0,0,0
Ventnor City,4,0,1,0,0,0
Verona,4,0,1,0,0,0
Voorhees Township,4,4,1,0,1,0
Warren Township,4,2,2,0,0,0
Washington,4,6,1,1,1,0
"Washington Township, Bergen County",4,1,0,0,0,0
"Washington Township, Gloucester County",4,3,2,0,1,0
"Washington Township, Mercer County",4,1,2,0,0,1
"Washington Township, Morris County",4,1,1,0,0,0
Waterford Township,4,1,0,0,0,0
West Caldwell Township,4,0,2,0,0,0
West Deptford Township,4,2,1,0,0,0
West Long Branch,4,0,1,1,0,0
West Paterson,4,0,0,0,1,0
Westville,4,1,0,0,0,0
West Windsor Township,4,2,0,0,0,0
Willingboro Township,4,0,0,1,0,0
Winslow Township,4,6,1,0,0,0
Woodbury,4,1,0,0,0,0
Woodbury Heights,4,1,0,0,0,0
State Police Agencies,,7,1,0,0,0
State Police:,,,,,,
Cumberland County,4,4,0,0,0,0
Salem County,4,3,0,0,0,0
Sussex County,4,0,1,0,0,0
NEW MEXICO,,13,2,1,2,0
Cities,,13,2,1,2,0
Albuquerque,4,8,1,1,1,0
Farmington,4,4,1,0,1,0
