Date,Value,Anomaly
200412,40.5,0.8
200512,42.4,2.7
200612,43.8,4.1
200712,41.8,2.1
200812,39.3,-0.4
200912,38.5,-1.2
201012,40.9,1.2
201112,40.7,1.0
201212,44.1,4.4
201312,38.8,-0.9
201412,39.0,-0.7
201512,43.4,3.7
201612,44.4,4.7
201712,42.0,2.3
201812,39.8,0.1
201912,38.0,-1.7
202012,42.3,2.6
