Date,Value,Anomaly
200412,65.2,0.6
200512,66.0,1.4
200612,67.1,2.5
200712,64.8,0.2
200812,65.5,0.9
200912,65.8,1.2
201012,65.1,0.5
201112,67.3,2.7
201212,67.8,3.2
201312,65.1,0.5
201412,64.8,0.2
201512,65.8,1.2
201612,67.2,2.6
201712,67.3,2.7
201812,66.0,1.4
201912,65.9,1.3
202012,66.9,2.3
