Date,Value,Anomaly
200412,48.5,1.0
200512,49.6,2.1
200612,50.4,2.9
200712,48.9,1.4
200812,45.9,-1.6
200912,46.7,-0.8
201012,48.2,0.7
201112,48.4,0.9
201212,52.1,4.6
201312,46.7,-0.8
201412,45.5,-2.0
201512,49.3,1.8
201612,50.7,3.2
201712,50.0,2.5
201812,47.5,0.0
201912,46.8,-0.7
202012,49.2,1.7
