Date,Value,Anomaly
200412,49.3,0.7
200512,50.1,1.5
200612,51.8,3.2
200712,50.3,1.7
200812,50.8,2.2
200912,49.8,1.2
201012,52.0,3.4
201112,51.6,3.0
201212,52.9,4.3
201312,50.6,2.0
201412,49.7,1.1
201512,50.4,1.8
201612,52.2,3.6
201712,51.5,2.9
201812,51.6,3.0
201912,50.6,2.0
202012,52.8,4.2
