Date,Value,Anomaly
200412,53.0,1.6
200512,53.4,2.0
200612,55.0,3.6
200712,53.6,2.2
200812,53.6,2.2
200912,52.7,1.3
201012,54.7,3.3
201112,54.9,3.5
201212,55.9,4.5
201312,53.2,1.8
201412,51.9,0.5
201512,53.9,2.5
201612,54.9,3.5
201712,54.6,3.2
201812,54.2,2.8
201912,54.3,2.9
202012,55.5,4.1
