Date,Value,Anomaly
200412,45.2,0.7
200512,46.2,1.7
200612,47.6,3.1
200712,45.7,1.2
200812,45.8,1.3
200912,45.0,0.5
201012,47.2,2.7
201112,47.1,2.6
201212,48.8,4.3
201312,45.7,1.2
201412,44.5,0.0
201512,45.7,1.2
201612,47.6,3.1
201712,46.9,2.4
201812,46.2,1.7
201912,45.2,0.7
202012,47.8,3.3
