,State,Year,Population,GDP,Incidents,Temperature,Marriage_Rate,Education_Rate,Is_Covid
89,Utah,2007,2597746,123835.3,55,49.9,9.6,28.7,0
90,Vermont,2007,623481,26886.7,21,42.2,8.5,33.6,0
91,Virginia,2007,7751000,424939.5,323,56.8,7.5,33.6,0
92,Washington,2007,6461587,373180.6,195,46.8,6.4,30.3,0
93,West Virginia,2007,1834052,67119.1,44,53.3,7.3,25.4,0
94,Wisconsin,2007,5610775,269933.6,69,44.7,5.7,17.3,0
95,Wyoming,2007,534876,40632.2,21,43.3,9.0,23.4,0
96,Alabama,2008,4718206,186946.7,11,62.9,8.6,27.3,0
97,Alaska,2008,687455,51252.1,8,25.1,8.4,22.0,0
98,Arizona,2008,6280362,280810.1,185,60.6,6.0,18.8,0
99,Arkansas,2008,2874554,106536.5,91,59.9,10.6,25.1,0
100,California,2008,36604337,2061638.8,1381,58.9,6.7,29.6,0
101,Colorado,2008,4889730,270981.4,149,44.9,7.4,35.6,0
102,Connecticut,2008,3545579,257756.0,164,49.7,5.4,35.6,0
103,Delaware,2008,883874,58655.7,58,56.3,5.5,27.5,0
104,Florida,2008,18527305,816070.2,153,70.8,8.0,25.8,0
105,Georgia,2008,9504843,445764.6,9,63.5,6.0,27.5,0
106,Idaho,2008,1534320,60309.5,30,42.5,9.5,24.3,0
107,Illinois,2008,12747038,706616.5,120,50.9,5.9,24.0,0
108,Indiana,2008,6424806,300962.6,61,51.0,8.0,29.9,0
109,Iowa,2008,3016734,149881.4,33,45.9,6.5,22.9,0
110,Kansas,2008,2808076,139536.8,113,53.6,6.7,29.6,0
111,Kentucky,2008,4289878,173810.1,64,55.4,7.9,19.7,0
112,Louisiana,2008,4435586,232150.7,67,66.6,6.8,20.3,0
113,Maine,2008,1330509,54653.9,63,41.6,7.4,38.1,0
114,Maryland,2008,5684965,314757.6,100,55.3,5.9,35.2,0
115,Massachusetts,2008,6468967,414919.9,333,48.6,5.7,25.4,0
116,Michigan,2008,9946889,420974.0,560,44.0,5.6,24.7,0
117,Minnesota,2008,5247018,288420.6,164,39.4,5.4,31.5,0
118,Mississippi,2008,2947806,101777.6,4,63.3,5.1,25.0,0
119,Missouri,2008,5923916,273436.2,99,53.4,6.8,19.4,0
120,Montana,2008,976415,40471.1,24,41.4,7.6,27.1,0
121,Nebraska,2008,1796378,93840.5,11,47.7,6.9,26.1,0
122,Nevada,2008,2653630,139954.2,94,50.4,42.3,26.9,0
123,New Hampshire,2008,1315906,65854.1,44,43.8,6.8,27.1,0
124,New Jersey,2008,8711090,534501.4,744,53.6,5.4,33.3,0
125,New Mexico,2008,2010662,86965.2,9,53.6,4.0,34.4,0
126,New York,2008,19212436,1190080.9,570,45.8,6.6,24.7,0
127,North Carolina,2008,9309449,450538.0,124,59.3,6.9,21.9,0
128,North Dakota,2008,657569,34256.4,16,39.3,6.5,31.9,0
129,Ohio,2008,11515391,537124.1,345,50.6,6.0,24.1,0
130,Oklahoma,2008,3668976,162387.0,51,59.6,7.1,22.2,0
131,Oregon,2008,3768748,173598.5,187,46.8,6.9,28.1,0
132,Pennsylvania,2008,12612285,629807.9,68,48.8,5.5,26.3,0
133,Rhode Island,2008,1055003,50575.2,35,50.8,6.1,30.0,0
134,South Carolina,2008,4528996,176567.6,153,62.9,7.3,23.7,0
135,South Dakota,2008,799124,39080.8,42,43.8,7.7,25.1,0
136,Tennessee,2008,6247411,274571.1,255,57.6,9.4,22.9,0
137,Texas,2008,24309039,1282088.7,246,65.5,7.3,25.3,0
138,Utah,2008,2663029,124225.5,40,48.1,9.0,29.1,0
139,Vermont,2008,624151,27758.4,20,43.0,7.9,33.7,0
140,Virginia,2008,7833496,431216.7,263,55.7,7.2,32.1,0
141,Washington,2008,6562231,381289.9,239,45.8,6.3,30.7,0
142,West Virginia,2008,1840310,68483.9,43,51.8,7.1,25.7,0
143,Wisconsin,2008,5640996,266626.9,92,41.8,5.6,17.1,0
144,Wyoming,2008,546043,42868.2,6,40.7,8.6,23.6,0
145,Alabama,2009,4757938,180707.2,9,62.9,8.3,26.6,0
146,Alaska,2009,698895,56215.1,9,26.8,7.8,22.0,0
147,Arizona,2009,6343154,257498.5,219,61.1,5.6,18.9,0
148,Arkansas,2009,2896843,102996.6,74,59.9,10.7,25.6,0
149,California,2009,36961229,1995439.7,1015,58.8,5.8,29.9,0
150,Colorado,2009,4972195,264966.3,208,45.2,6.9,35.9,0
151,Connecticut,2009,3561807,244894.7,199,48.8,5.9,35.6,0
152,Delaware,2009,891730,61517.7,37,55.4,5.4,28.7,0
153,Florida,2009,18652644,769061.1,130,71.2,7.5,25.3,0
154,Georgia,2009,9620846,428740.7,11,63.4,6.6,27.5,0
155,Idaho,2009,1554439,57327.9,35,42.8,8.9,25.1,0
156,Illinois,2009,12796778,688161.0,129,51.4,5.7,23.9,0
157,Indiana,2009,6459325,279520.7,55,51.3,7.9,30.6,0
158,Iowa,2009,3032870,146182.8,18,46.7,7.0,22.5,0
159,Kansas,2009,2832704,134227.0,122,53.6,6.4,29.5,0
160,Kentucky,2009,4317074,166704.2,150,55.4,7.6,21.0,0
161,Louisiana,2009,4491648,236411.0,13,66.8,7.1,21.4,0
162,Maine,2009,1329590,53630.1,50,40.9,7.1,38.2,0
163,Maryland,2009,5730388,311342.2,102,54.6,5.8,35.7,0
164,Massachusetts,2009,6517613,407219.6,322,47.7,5.6,26.9,0
165,Michigan,2009,9901591,383140.1,314,43.8,5.4,24.6,0
166,Minnesota,2009,5281203,277494.1,153,40.1,5.3,31.5,0
167,Mississippi,2009,2958774,98000.6,2,63.6,4.8,25.2,0
168,Missouri,2009,5961088,266834.9,124,54.0,6.5,19.6,0
169,Montana,2009,983982,39513.4,28,41.1,7.3,27.4,0
170,Nebraska,2009,1812683,93977.6,78,47.6,6.6,26.5,0
171,Nevada,2009,2684665,128241.3,48,50.4,40.3,25.8,0
172,New Hampshire,2009,1316102,65023.4,24,43.0,6.5,27.4,0
173,New Jersey,2009,8755602,506850.7,549,52.7,5.0,32.0,0
174,New Mexico,2009,2036802,88069.9,15,54.3,5.0,34.5,0
175,New York,2009,19307066,1230672.3,626,45.0,6.5,25.3,0
176,North Carolina,2009,9449566,431955.3,103,58.9,6.6,21.8,0
177,North Dakota,2009,664968,35244.4,14,38.5,6.4,32.4,0
178,Ohio,2009,11528896,511076.5,297,50.5,5.8,24.1,0
179,Oklahoma,2009,3717572,160091.6,59,59.4,6.9,22.7,0
180,Oregon,2009,3808600,165527.2,130,47.3,6.6,29.2,0
181,Pennsylvania,2009,12666858,610147.9,46,48.4,5.3,26.4,0
182,Rhode Island,2009,1053646,50004.3,36,49.8,5.9,30.5,0
183,South Carolina,2009,4589872,168851.8,124,62.7,7.3,24.3,0
184,South Dakota,2009,807067,39987.3,42,43.6,7.3,25.1,0
185,Tennessee,2009,6306019,264737.1,169,57.6,8.4,23.0,0
186,Texas,2009,24801761,1277295.4,165,65.8,7.1,25.5,0
187,Utah,2009,2723421,121431.4,48,48.4,8.4,28.5,0
188,Vermont,2009,624817,27222.0,24,42.3,8.7,34.0,0
189,Virginia,2009,7925937,427648.9,150,55.2,6.9,33.1,0
190,Washington,2009,6667426,370136.6,208,46.4,6.0,31.0,0
191,West Virginia,2009,1847775,68191.8,24,51.7,6.7,25.7,0
192,Wisconsin,2009,5669264,258761.2,54,42.4,5.3,17.3,0
193,Wyoming,2009,559851,41546.4,8,40.9,8.0,23.8,0
194,Alabama,2010,4779736,184702.4,19,62.7,8.2,27.9,0
195,Alaska,2010,710231,54601.5,7,27.4,8.0,21.9,0
196,Arizona,2010,6392017,260307.1,236,60.4,5.9,19.5,0
197,Arkansas,2010,2915918,105662.0,63,61.2,10.8,25.9,0
198,California,2010,37253956,2036015.0,1092,57.7,5.8,30.1,0
199,Colorado,2010,5029196,267858.9,154,46.2,6.9,36.4,0
200,Connecticut,2010,3574097,244354.7,147,51.4,5.6,35.5,0
201,Delaware,2010,897934,60577.2,20,56.7,5.2,27.8,0
202,Florida,2010,18801310,775039.5,136,69.2,7.3,25.8,0
203,Georgia,2010,9687653,433727.2,17,63.0,7.3,27.3,0
204,Idaho,2010,1567582,58281.8,28,43.3,8.8,24.9,0
205,Illinois,2010,12830632,698179.6,94,52.9,5.7,24.4,0
206,Indiana,2010,6483802,297517.3,94,52.6,6.3,30.8,0
207,Iowa,2010,3046355,150148.4,17,48.2,6.9,22.7,0
208,Kansas,2010,2853118,135723.2,58,55.3,6.4,29.8,0
209,Kentucky,2010,4339367,173780.1,173,56.0,7.4,20.5,0
210,Louisiana,2010,4533372,246836.2,13,66.5,6.9,21.4,0
211,Maine,2010,1328361,54305.0,61,44.6,7.1,39.0,0
212,Maryland,2010,5773552,325369.7,80,55.8,5.7,36.1,0
213,Massachusetts,2010,6547629,425792.7,316,50.4,5.6,26.8,0
214,Michigan,2010,9883640,404216.9,304,47.1,5.5,25.2,0
215,Minnesota,2010,5303925,287140.1,127,42.8,5.3,31.8,0
216,Mississippi,2010,2967297,98601.1,11,63.5,4.9,25.6,0
217,Missouri,2010,5988927,270732.9,142,55.2,6.5,19.5,0
218,Montana,2010,989415,40793.7,31,41.6,7.4,28.8,0
219,Nebraska,2010,1826341,97466.1,61,49.3,6.6,26.5,0
220,Nevada,2010,2700551,129828.4,68,50.0,38.3,27.6,0
221,New Hampshire,2010,1316470,67125.8,31,46.0,7.3,28.6,0
222,New Jersey,2010,8791894,513917.9,543,54.7,5.1,32.8,0
223,New Mexico,2010,2059179,87610.3,24,54.2,7.7,35.4,0
224,New York,2010,19378102,1277466.8,699,47.2,6.5,25.0,0
225,North Carolina,2010,9535483,437836.5,94,59.0,6.6,21.7,0
