,State,Year,GDP
206,Arizona,2002,220696.7
207,Arkansas,2002,92950.5
208,California,2002,1722522.4
209,Colorado,2002,235417.3
210,Connecticut,2002,216677.7
211,Delaware,2002,56534.5
212,District of Columbia,2002,91141.5
213,Florida,2002,689974.0
214,Georgia,2002,399413.4
215,Hawaii,2002,56990.8
216,Idaho,2002,47056.8
217,Illinois,2002,647517.8
218,Indiana,2002,265345.1
219,Iowa,2002,123298.2
220,Kansas,2002,116195.0
221,Kentucky,2002,155643.9
222,Louisiana,2002,213079.4
223,Maine,2002,50910.4
224,Maryland,2002,270468.4
225,Massachusetts,2002,362581.6
226,Michigan,2002,436802.2
227,Minnesota,2002,253478.4
228,Mississippi,2002,88569.4
229,Missouri,2002,247437.1
230,Montana,2002,32503.7
231,Nebraska,2002,79179.8
232,Nevada,2002,110448.6
233,New Hampshire,2002,59474.6
234,New Jersey,2002,484657.1
235,New Mexico,2002,73909.6
236,New York,2002,1106150.8
237,North Carolina,2002,364870.4
238,North Dakota,2002,26290.8
239,Ohio,2002,513215.5
240,Oklahoma,2002,131293.3
241,Oregon,2002,138932.5
242,Pennsylvania,2002,555055.9
243,Rhode Island,2002,47224.5
244,South Carolina,2002,155275.1
245,South Dakota,2002,32784.9
246,Tennessee,2002,240971.7
247,Texas,2002,1043566.9
248,Utah,2002,95383.1
249,Vermont,2002,24570.1
250,Virginia,2002,364932.4
251,Washington,2002,307583.2
252,West Virginia,2002,62834.1
253,Wisconsin,2002,240543.3
254,Wyoming,2002,29777.1
255,Alabama,2003,165134.7
256,Alaska,2003,42355.3
257,Arizona,2003,234065.9
258,Arkansas,2003,96944.5
259,California,2003,1789998.5
260,Colorado,2003,237782.3
261,Connecticut,2003,219186.0
262,Delaware,2003,57300.0
263,District of Columbia,2003,92921.0
264,Florida,2003,722374.5
265,Georgia,2003,411685.6
266,Hawaii,2003,59978.8
267,Idaho,2003,48593.7
268,Illinois,2003,658317.3
269,Indiana,2003,277151.6
270,Iowa,2003,128962.3
271,Kansas,2003,118192.5
272,Kentucky,2003,159990.8
273,Louisiana,2003,221774.4
274,Maine,2003,52209.8
275,Maryland,2003,278332.0
276,Massachusetts,2003,369007.4
277,Michigan,2003,443652.2
278,Minnesota,2003,264165.9
279,Mississippi,2003,92354.7
280,Missouri,2003,252677.3
281,Montana,2003,33810.5
282,Nebraska,2003,83773.3
283,Nevada,2003,115275.4
284,New Hampshire,2003,61892.7
285,New Jersey,2003,494703.5
286,New Mexico,2003,76767.5
287,New York,2003,1110613.1
288,North Carolina,2003,373987.6
