,State,Year,Incidents
256,Delaware,2011,15
257,District Of Columbia,2011,83
258,Florida,2011,125
259,Georgia,2011,17
260,Idaho,2011,33
261,Illinois,2011,69
262,Indiana,2011,100
263,Iowa,2011,15
264,Kansas,2011,67
265,Kentucky,2011,154
266,Louisiana,2011,5
267,Maine,2011,55
268,Maryland,2011,49
269,Massachusetts,2011,367
270,Michigan,2011,346
271,Minnesota,2011,148
272,Mississippi,2011,1
273,Missouri,2011,117
274,Montana,2011,23
275,Nebraska,2011,36
276,Nevada,2011,59
277,New Hampshire,2011,22
278,New Jersey,2011,508
279,New Mexico,2011,28
280,New York,2011,544
281,North Carolina,2011,112
282,North Dakota,2011,27
283,Ohio,2011,228
284,Oklahoma,2011,29
285,Oregon,2011,128
286,Pennsylvania,2011,53
287,Rhode Island,2011,20
288,South Carolina,2011,135
289,South Dakota,2011,21
290,Tennessee,2011,144
291,Texas,2011,152
292,Utah,2011,68
293,Vermont,2011,7
294,Virginia,2011,144
295,Washington,2011,213
296,West Virginia,2011,18
297,Wisconsin,2011,76
298,Wyoming,2011,2
299,Alabama,2012,6
300,Alaska,2012,6
301,Arizona,2012,176
302,Arkansas,2012,30
303,California,2012,910
304,Colorado,2012,189
305,Connecticut,2012,149
306,Delaware,2012,10
307,District Of Columbia,2012,72
308,Florida,2012,144
309,Georgia,2012,21
310,Idaho,2012,35
311,Illinois,2012,84
312,Indiana,2012,37
313,Iowa,2012,8
314,Kansas,2012,81
315,Kentucky,2012,194
316,Louisiana,2012,4
317,Maine,2012,52
318,Maryland,2012,35
319,Massachusetts,2012,157
320,Michigan,2012,617
321,Minnesota,2012,72
322,Mississippi,2012,18
323,Missouri,2012,104
324,Montana,2012,36
325,Nebraska,2012,9
326,Nevada,2012,91
327,New Hampshire,2012,29
328,New Mexico,2012,2
329,New York,2012,715
330,North Carolina,2012,119
331,North Dakota,2012,41
332,Ohio,2012,257
333,Oklahoma,2012,21
334,Oregon,2012,52
335,Pennsylvania,2012,38
336,Rhode Island,2012,12
337,South Carolina,2012,148
338,South Dakota,2012,29
339,Tennessee,2012,316
340,Texas,2012,52
341,Utah,2012,102
342,Vermont,2012,12
343,Virginia,2012,134
344,Washington,2012,272
345,West Virginia,2012,27
346,Wisconsin,2012,68
347,Wyoming,2012,2
348,Alabama,2013,6
349,Alaska,2013,8
350,Arizona,2013,155
351,Arkansas,2013,27
352,California,2013,843
353,Colorado,2013,128
